node_id	pr_value
663930	0.000172438581121727
482708	9.409158864049368e-05
1034017	5.478941005079604e-05
663559	4.874698942960064e-05
357530	4.561544279769612e-05
1120567	4.4847128373773044e-05
663605	4.348263426865654e-05
663682	3.659435702898396e-05
1108860	3.5251801674277104e-05
664788	3.5035704161325006e-05
