stateID=3, vehicleID=320, distance to caller=38.8329756778952
stateID=3, vehicleID=211, distance to caller=52.49761899362675
stateID=3, vehicleID=69, distance to caller=56.08029957123981
TaxiRequest(stateID=3, locationX=-3, locationY=1) cannot be statisfied.
TaxiRequest(stateID=3, locationX=17, locationY=28) cannot be statisfied.
TaxiRequest(stateID=3, locationX=24, locationY=4) cannot be statisfied.
TaxiRequest(stateID=3, locationX=-13, locationY=13) cannot be statisfied.
TaxiRequest(stateID=3, locationX=15, locationY=-19) cannot be statisfied.
TaxiRequest(stateID=3, locationX=20, locationY=0) cannot be statisfied.
TaxiRequest(stateID=3, locationX=29, locationY=-27) cannot be statisfied.
TaxiRequest(stateID=3, locationX=-28, locationY=1) cannot be statisfied.
TaxiRequest(stateID=3, locationX=27, locationY=-13) cannot be statisfied.
stateID=4, vehicleID=330, distance to caller=7.280109889280518
stateID=4, vehicleID=50, distance to caller=1.0
stateID=4, vehicleID=328, distance to caller=4.47213595499958
stateID=4, vehicleID=291, distance to caller=1.4142135623730951
stateID=4, vehicleID=231, distance to caller=4.47213595499958
stateID=4, vehicleID=133, distance to caller=1.0
stateID=4, vehicleID=244, distance to caller=5.385164807134504
stateID=4, vehicleID=180, distance to caller=11.180339887498949
stateID=4, vehicleID=163, distance to caller=5.830951894845301
stateID=4, vehicleID=380, distance to caller=3.1622776601683795
stateID=4, vehicleID=84, distance to caller=3.0
stateID=4, vehicleID=274, distance to caller=5.0990195135927845
stateID=4, vehicleID=276, distance to caller=1.4142135623730951
stateID=4, vehicleID=227, distance to caller=8.246211251235321
stateID=4, vehicleID=98, distance to caller=9.219544457292887
stateID=4, vehicleID=162, distance to caller=5.0990195135927845
stateID=4, vehicleID=164, distance to caller=9.219544457292887
stateID=4, vehicleID=25, distance to caller=5.0
stateID=4, vehicleID=210, distance to caller=15.0
stateID=4, vehicleID=68, distance to caller=2.23606797749979
stateID=4, vehicleID=370, distance to caller=3.1622776601683795
stateID=4, vehicleID=399, distance to caller=4.123105625617661
stateID=4, vehicleID=263, distance to caller=5.830951894845301
stateID=4, vehicleID=206, distance to caller=5.385164807134504
stateID=4, vehicleID=128, distance to caller=5.385164807134504
stateID=4, vehicleID=287, distance to caller=4.242640687119285
stateID=4, vehicleID=331, distance to caller=8.06225774829855
stateID=4, vehicleID=281, distance to caller=7.615773105863909
stateID=4, vehicleID=372, distance to caller=8.602325267042627
